iter	Accuracy	MultiClass
139	0.6530612245	1.574882423
140	0.6513605442	1.57463511
141	0.6513605442	1.574382095
142	0.6496598639	1.574155247
143	0.6530612245	1.573914448
144	0.6513605442	1.573656919
145	0.6513605442	1.573473328
146	0.6530612245	1.573333881
147	0.6496598639	1.573174266
148	0.6496598639	1.572948758
149	0.6479591837	1.572708602
150	0.6496598639	1.572494489
151	0.656462585	1.572283248
152	0.656462585	1.572077469
153	0.656462585	1.571793609
154	0.6547619048	1.571591134
155	0.6547619048	1.571362892
156	0.6530612245	1.57116479
157	0.6547619048	1.570915223
158	0.6530612245	1.570724624
159	0.6547619048	1.57048021
160	0.656462585	1.570251428
161	0.6530612245	1.570041669
162	0.6530612245	1.569808459
163	0.6547619048	1.569622704
164	0.6513605442	1.569387057
165	0.6513605442	1.569115768
166	0.656462585	1.5688717
167	0.6598639456	1.568656408
168	0.6581632653	1.568422889
169	0.6547619048	1.568208656
170	0.6581632653	1.567953748
171	0.656462585	1.567723859
172	0.6581632653	1.567562562
173	0.6581632653	1.567333312
174	0.6581632653	1.567058708
175	0.6581632653	1.56684587
176	0.6615646259	1.566606663
177	0.6598639456	1.566400493
178	0.6615646259	1.566172503
179	0.6615646259	1.565919727
180	0.6615646259	1.565661259
181	0.6632653061	1.565385743
182	0.6632653061	1.565167285
183	0.6615646259	1.564922015
184	0.6615646259	1.564683513
185	0.6632653061	1.564463993
186	0.6598639456	1.564319021
187	0.656462585	1.564096976
188	0.6581632653	1.563940295
189	0.6530612245	1.563741628
190	0.6547619048	1.563488015
191	0.6530612245	1.563332277
192	0.6547619048	1.563113817
193	0.6547619048	1.562853604
194	0.6547619048	1.562641607
195	0.656462585	1.562388394
196	0.6530612245	1.562148749
197	0.6496598639	1.56189645
198	0.6496598639	1.561678191
199	0.6479591837	1.56146832
